usuario,op,co,ex,ag,ne,wordcount
3gerardpique,0.10263754885824972,0.4857248062090638,0.5653912195631443,0.6415006699613588,0.3839666372802561,0.1511752318035618
aguerosergiokun,0.3591155020349528,0.3032924864832821,0.4679016725509929,0.4787232875908207,0.4066625301128639,0.34773456559692006
albertochicote,0.2810606448885853,0.14102299654276337,0.4936958718204447,0.8101605845054368,0.3401900511015023,0.20851762612036817
AlejandroSanz,0.24850687441956532,0.18008105136598065,0.8179657429759943,0.696231920163383,0.17439317483438496,0.3555436778618643
alfredocasero1,0.15942666204430478,0.28214602872741235,0.7254150136069117,0.6980452871434017,0.27347424197811343,0.19816753581218918
alo_oficial,0.08425315071164796,0.19938209084878014,0.596094064807382,0.5269235775338676,0.4749906626862903,0.16550812019471878
andresiniesta8,0.043925802837838424,0.1407878409884172,0.6926311255597988,0.32894100385082714,0.2560272899252575,0.40770136461503076
andykusnetzoff,0.0442621142161046,0.2090542450926355,0.8918759002571812,0.8617261397983585,0.28038884361068245,0.28875380369000353
andyroddick,0.3928677177165072,0.4211645790448735,0.5163164540718891,0.23506203900690914,0.32344855592250193,0.6604681131058096
andy_murray,0.22594005940733186,0.437537398193093,0.34700447848696836,0.7349002756866451,0.4325549195496353,0.8132440055353823
AngelAlessandra,0.5454148732939204,0.403344880749019,0.5593139988614997,0.2478225896154247,0.3159122946591698,0.4348993978197833
antoniobanderas,0.27132661881523945,0.2964801789307372,0.49791253872780394,0.3761375267339505,0.2960279017366423,0.1313050757344374
aplusk,0.5851679291780452,0.45804274235794096,0.3746727006113252,0.30264345787984637,0.3415068400207789,0.5671132113890115
AvrilLavigne,0.4220595261541604,0.2989350248642416,0.5043847870412661,0.3879002251386051,0.3414243064906608,0.5836816514141997
BarackObama,0.2259036352726138,0.2929042397809344,0.5539785976140508,0.3740145410182,0.5567365945872385,0.8161945754761447
BarRefaeli,0.44622883513025746,0.3186063876777915,0.6059718945925905,0.3183558733577523,0.1806805390685799,0.2524599080704215
Berto_Romero,0.2412217835329511,0.4327051262546724,0.6199945238786753,0.787009390265624,0.3377894757896343,0.20858926935215666
BillGates,0.3203897363218977,0.3951312605230375,0.6102097375862305,0.3760490276983758,0.44963779153694905,0.9239634355569131
britneyspears,0.47442406676471904,0.271908840630706,0.5529131803316121,0.22789678237265465,0.26187418482342595,0.49312507777061343
Buenafuente,0.0,0.1638587643200243,0.6225464975555599,0.9531550433723607,0.21267012572506072,0.3069285603858177
CarlosAuryn,0.16530016174427353,0.37754822549574885,0.8084780540134615,0.8115049193857872,0.2483874477743378,0.1559527041549304
carmenelectra,0.4936693270202006,0.2735372198520396,0.551638554986662,0.2746588350988326,0.4442813480017582,0.6542266678732896
Carrie_Br4dshaw,0.09996726146942736,0.17025987273408202,0.0,0.012031360758677168,0.2688656114895738,0.0
CasillasWorld,0.02867356834434598,0.2310298738734832,0.6196586482966184,0.7533932809856848,0.36377368051043896,0.39025482366338243
celinedion,0.41406406866126955,0.5245980104825386,0.5659881615223363,0.09898191898840486,0.27256558877324366,0.3506643967074279
cesarmillan,0.3683038619372687,0.3848127276543768,0.4189599201114518,0.4531186750006243,0.32325760453444613,0.7294030421978634
CFKArgentina,0.14212066303250748,0.35887248057064913,0.6522037401101477,0.5983681008039824,0.23927572861877172,0.332268111597531
charliesheen,0.1500127988362705,0.17194145272860015,0.5195947845268792,0.6202896444266693,0.4959980606799237,0.555008333239066
ChristianG_7,0.3474722802256973,0.2394236539827456,0.6784465271729059,0.6467672258273182,0.08205388567990524,0.10212082819575949
CindyCrawford,0.45608974580465,0.3507859630465945,0.4803378215452553,0.3352461444969922,0.283585340214846,0.5032899326176552
Clyburn,0.10114915025709004,0.6113425292892033,0.5479542806595328,0.15499183318238724,0.583692028093298,0.8501940023302904
CourteneyCox,0.5540407226625113,0.29490995440073897,0.493846219601801,0.2525936084321164,0.1334353222330819,0.535001489425082
Courtney,0.46225910161863304,0.35397925390019935,0.5694992101149632,0.3741688708031419,0.320592608176772,0.5145228372228067
Cristiano,0.5488877153822913,0.4440986593620544,0.4844652620041058,0.34103982594081295,0.25487887986573615,0.5246693099248501
CristiPedroche,0.016108489597190356,0.11620977780432626,1.0,0.7702086732443917,0.10663013984204195,0.26996348080526994
DaniMateoAgain,0.1182719728232765,0.27200665059921936,0.7654476875057348,0.8638660388052285,0.37461315675980333,0.2609557584190224
DANIROVIRA,0.28183102253631764,0.38392375063201334,0.7578586012181185,0.6639163438567363,0.06608146878657276,0.21462238360802857
davidbisbal,0.01932717856636912,0.20451312952243958,0.9048834875200402,0.6453247682807179,0.15187119505283386,0.39107495013253996
David_Busta,0.21423800230273482,0.0,0.6264650703252721,0.5767733449857063,0.04548164001532317,0.4604392672782736
Diane_Keaton,0.40636158790415444,0.3744460436585695,0.4055946733706607,0.46172888301268367,0.17011546283988813,0.687785865921577
DidacLee,0.3607262022267961,0.3395762274821983,0.7356307369020314,0.4817711649615949,0.22048684411608044,0.12162192735376298
drexlerjorge,0.36155486328904085,0.20564913235713386,0.7797403058138057,0.5245529351961656,0.20877958924012024,0.26537218658914113
edans,0.29811522619051734,0.3723339274923957,0.6585419785641602,0.4936388600544097,0.24917347724438582,0.18165659890725222
EdwardNorton,0.24057142796813025,0.3419799307920881,0.46263196336454415,0.6798015370760603,0.2974386411791156,0.8425239344954619
EmWatson,0.5402374872779472,0.7041841965368186,0.4035231123974632,0.2074043958634758,0.2035923525145644,0.4281932142547407
enrique305,0.639958561907976,0.63203308298337,0.3024984718451169,0.3559677396716463,0.44916620871596774,0.41067785809361135
epunset,0.4484347747884714,0.28127952382651544,0.6329722069094725,0.3223293777440336,1.0,0.37680239288394174
EvaLongoria,0.5622765362538675,0.48253084526025014,0.48208488513200964,0.23499313892682827,0.17250510049808154,0.5286544646930842
eva_hache,0.034321948655695045,0.27707446100353406,0.6515096701777152,1.0,0.3182150847326085,0.15234131966832956
FALCAO,0.044894521656571484,0.15222198665184697,0.843149239477029,0.4792737848431782,0.14459068314972526,0.3195179730244379
Fergie,0.45727564172702806,0.3735322252495368,0.6558814014688861,0.26035652130625475,0.11533795018521892,0.3578607708057602
FernandezAnibal,0.14820457329726056,0.3985326159389755,0.5753592482922132,0.4759262001171014,0.33265601222995267,0.206276418441722
fieritacatalano,0.21338484253064338,0.32832523319851725,0.6876996502566342,0.6190948435020207,0.22357113172338333,0.19576183150266024
foofighters,0.7247544274279591,0.34597786239963424,0.24820675504023682,0.16085396709555982,0.1500371989165709,0.062302745444056076
GeorgeHWBush,0.13256151119751802,0.3008567143312567,0.28207086661151637,0.9629005520542983,0.1598595605268184,0.24798739079120527
gwenstefani,0.6429506198149597,0.36087678320412087,0.4795820224703804,0.14885154117329708,0.2072777753108745,0.39048577881849
GwynethPaltrow,0.4666880652459431,0.3730955864250868,0.29837903016053313,0.43952393785411004,0.37247504155981576,0.5152783905159445
heidiklum,0.42689846525300723,0.44458282708238606,0.5511843024079324,0.3680144790560862,0.27394373313624054,0.4420302560679932
HerreraBeutler,0.13818728838969419,0.44669726464981885,0.3047358432757611,0.5877747214846148,0.45276273584097854,0.8347817520917938
HilaryDuff,0.6227511096163938,0.3459476841832665,0.3500122121103777,0.38445646805016964,0.3213845640249066,0.5155960716884802
HillaryClinton,0.2515030354405391,0.42012346647814003,0.3731322436620168,0.23857632675736695,0.40085106275428684,0.7840262930660665
hughlaurie,0.2103821309241768,0.524425078054724,0.44379003611410106,0.4713400765037076,0.3626111953029618,0.43915745674068546
IamStevenT,0.529373617178601,0.40551469689906494,0.5034794668060836,0.23410827645986076,0.12958666258153287,0.5369726209733676
IanMcKellen,0.657629138194415,0.41057676363016127,0.35078600234925705,0.09931903381177914,0.27803271613446406,0.559931920076319
ierrejon,0.22814470334533854,0.4073993875377655,0.5752196952092594,0.4637497815100129,0.274994488686261,0.40823303280882944
iescolar,0.2241376406144363,0.3438754386820164,0.5229976430116411,0.542416439949168,0.4917375613276638,0.22011487426612825
JerrySeinfeld,0.8792925050936202,0.29985743485113003,0.1984382113651545,0.20130800167802865,0.1342090196075526,0.7886293707084762
jessicaalba,0.4455030158607671,0.9999999999999999,0.2016751135181668,0.020532000058700983,0.0849445637442752,1.0
JessieJ,0.5436089512575013,0.4029883422339925,0.40438078036041747,0.23033482209727552,0.3923772136166031,0.40908143950106146
JesusCalleja,0.3789400452023992,0.19457121409309777,0.8473431743055448,0.6745262208286893,0.19795976590632253,0.5044376383374245
JesusEncinar,0.3537999538531649,0.3407440119753671,0.6141510667471699,0.49616447162095223,0.24516872725234934,0.3810590377936901
jiminhofe,0.30288470028935843,0.67422206194183,0.35623579336243727,0.17064842520793994,0.3662272881909203,0.7193032318638929
jimlangevin,0.34773562336043407,0.46310184152454115,0.4626659277646985,0.18668363196589,0.4030852201403253,0.7957988785948877
jimmyfallon,0.5233295383128149,0.2567468835247927,0.6226675002896822,0.023772573848336753,0.44579710635003134,0.5381240973895469
jk_rowling,0.2923142868221609,0.3580589131912477,0.48467075027189754,0.3959406246925673,0.5098383323276647,0.637139285754686
JLo,0.6531591914168422,0.36033666253385443,0.35359736484879567,0.22022988199990046,0.28328030604862264,0.46993388083845206
JohnKerry,0.15195517940637981,0.2852744400056221,0.4991376397469742,0.5530432621844357,0.3792761269062402,0.9497964766612746
jordievole,0.13307823961725007,0.2969836118883218,0.7290309701355917,0.6591719578784236,0.3476688787889655,0.2705738622866257
jordiGlez,0.08162173492904645,0.2391706212455074,0.9201196937553788,0.7329579968166565,0.10061987735970615,0.22212512678966678
josjaviersantos,0.041507077127793335,0.30407829277546183,0.623631072996425,0.9541754679458444,0.18261031593303695,0.31008887531438184
JPVarsky,0.0794683679185052,0.3217436777175178,0.678560576565264,0.896593480927003,0.46932813915344906,0.33447726835669284
jtimberlake,0.2857523757749847,0.4564327189589342,0.5656649283798505,0.27206419556342953,0.24051852496458442,0.48425498580332804
JudgeJudy,0.6508537452456666,0.33751353083767366,0.30392918269399793,0.2263316475140964,0.1605199159203824,0.4664186491103042
justdemi,0.3867216848662569,0.3473465079316417,0.6122139046315624,0.2090109666866674,0.22878285833485595,0.7399011323401319
justinbieber,0.46335832825602985,0.3849018981810911,0.38327716929554034,0.46923918357465577,0.2294836961199087,0.39850793543059465
KAKA,0.33954321639602436,0.5026324809937665,0.5982379064975867,0.5801531576842757,0.30645283655410915,0.26613480993804745
kanyewest,0.4631457821523852,0.362369563873559,0.5543557313113987,0.15644532113623943,0.21981472311896216,0.4209096428019291
KateUpton,0.3872239684051586,0.3378048786616724,0.7078107325656746,0.4487507296454536,0.19433426053552055,0.5377418430409913
katyperry,0.4399544539950222,0.498343536609826,0.41537073151732473,0.18529734956578725,0.422010237033771,0.4427009686919077
KevinSpacey,0.4108634957801751,0.4782560686035815,0.5219570729854357,0.3585366735623231,0.3835035082633102,0.7659486318028077
KidRock,0.4410935840158421,0.4628562994944586,0.4244646571119971,0.09117971228669391,0.3012077304895898,0.4335320490341361
kobebryant,0.24621445743491932,0.5849184495327485,0.4047519088989695,0.36766975485031783,0.434437721152494,0.4507193546076025
ladygaga,0.4565939969186814,0.43673390617379526,0.34584621221083645,0.420166084682131,0.3426708939753965,0.7567698140669601
LennyKravitz,0.4251161301233257,0.6028098719479167,0.5551619785826376,0.33213994984266004,0.2622161717000718,0.41554865518112544
LeoDiCaprio,0.44925182235848715,0.3371141301612557,0.5892915327601349,0.2774806690514301,0.40664627614943516,0.9976805503708481
lorenzo99,0.20986437072724273,0.43557739363931736,0.5881235658428707,0.4107363973417423,0.3666714615132509,0.3079259095862415
manuginobili,0.20277879675774335,0.2639953033984094,0.5493718628211672,0.9706243629340333,0.2638180368358387,0.20920530687812736
MariahCarey,0.5972527036401869,0.3252098409129357,0.5731973425008525,0.06257847375420106,0.23393126856868252,0.47257855303295965
maria_patino,0.1732551639729123,0.29673783053852176,0.670067385661655,0.7193200652347876,0.3015339863185204,0.23893724807034614
martinvars,0.3910914772707641,0.4647536740781828,0.4736818202351095,0.15467703495107632,0.4109823368222995,0.5647815069965272
MeganFox516,0.5593400503468884,0.5903996129530072,0.35631721553574947,0.29386756995364394,0.2926201471842143,0.8297695538889078
MelanieGriffith,0.5035538485961495,0.3411217063534143,0.4293085835211343,0.42134953547757836,0.22054131450290604,0.6162119206796304
MileyCyrus,0.42293025013350727,0.3693457815005714,0.516647807550561,0.44581590595596277,0.4152894628256822,0.4061445383347851
NadalMiki,0.06389004383949337,0.2385258221308372,0.8749571068768986,0.8504821902564929,0.2542993585262213,0.38757668653823674
OfficialAdele,0.840945977489405,0.402999374872966,0.16465873120184726,0.17525437158219237,0.0,0.650146303020705
Oprah,0.5857445006755022,0.428106238904689,0.4455561606097468,0.33200950328733314,0.2011436253807425,0.6323212784169109
pabloalboran,0.1395037161255548,0.0725451534681962,0.6297413828524077,0.4675818409059104,0.3046662950188487,0.3344042111137506
Pablo_Iglesias_,0.22857406663034818,0.34869588822639597,0.644154979582217,0.5086027744767374,0.2636015497304391,0.3428995901253002
paugasol,0.2661873605661088,0.43641087241920895,0.5638340113814049,0.3327424978283686,0.45320446888997934,0.36366528659178066
PaulaMeliveo,0.5009565774404938,0.3453602978688076,0.4727128501791652,0.3399079782679876,0.490628849286061,0.1728058317590676
paulocoelho,0.3754841194611802,0.47618753255795165,0.6279782730923518,0.3594595189968711,0.3525593608470955,0.3571184149500571
perezreverte,0.17735179936185297,0.26737196101950866,0.6001752387998804,0.7681779273110231,0.4012842548466334,0.30965901592365097
pnique,0.03650482929318177,0.40532620868961744,0.70492857240454,0.6263845998633445,0.31292483361148815,0.3621221290860209
porliniers,0.27505826901762154,0.20175406036413876,0.7696994614952866,0.679585341093923,0.21866831756967597,0.1631255114007006
RafaelNadal,0.1630029457958967,0.5311310558568151,0.8273227285632727,0.17256260051858263,0.24383224184119667,0.4245804157569862
RealHughJackman,0.33107606875801676,0.32834502493914863,0.5892852844775007,0.26180876234450445,0.373866084510413,0.4001331055832702
Rep_Hunter,0.22303531864543302,0.8110235783289964,0.2928623071547797,0.12549837857809226,0.6611177175217159,0.547879360339061
rihanna,0.8152273470675837,0.46249916268013846,0.20004900404076675,0.0,0.22485436688437532,0.38189943175605107
ristomejide,0.34842547439676075,0.296671802228483,0.6524449675821105,0.7860448850610783,0.2677092705417306,0.3318632330705158
sanchezcastejon,0.1295713968708454,0.44069797404132527,0.5437349880147242,0.47778455197539094,0.3294658341906609,0.4651611218575959
SarahPalinUSA,0.363319418258099,0.4038002104434003,0.3886349136236922,0.42885488034933594,0.4569468894990637,0.48173003321983543
SerranoIsmael,0.20345741821893948,0.28639414516755934,0.6763774703752388,0.8005447870183425,0.363178820309994,0.28752785601972825
shakira,0.606423475340429,0.2501307463446246,0.7568149435191718,0.3608639616036958,0.25729026210235034,0.14006063279827155
SJP,0.3884649564311682,0.5591710462773254,0.39650288726576177,0.310152095887682,0.3394985822229835,0.5068513553768246
springsteen,0.5790251116334943,0.5389134219519887,0.3410684397979913,0.05548742458438627,0.25978766397383957,0.44886982801853675
SSantiagosegura,0.3220927205862876,0.28837824921688004,0.1285969260102683,0.24703182131814516,0.4181702926441141,0.03699713050003206
stevewoz,0.24236014571957387,0.4943722173548579,0.20558559026407675,0.4690248419798244,0.3352542932578429,0.26820680761529847
taylorswift13,0.5741848528196216,0.37138198545237655,0.576639805858808,0.21748644386927884,0.13161278666620707,0.4498143874692217
TheEllenShow,0.45051663723942115,0.2856478505607273,0.6642370815297798,0.1706356043577718,0.20169373271137156,0.6980435741677131
thelittleidiot,0.33077217437975315,0.37820463161671447,0.42844021810931243,0.3933322690855381,0.44426125932309696,0.6859151291652056
TheReal_Jlh,0.5072633035912757,0.21292122095080426,0.6170594356580299,0.25834073836011484,0.31947544233113384,0.6636897018510349
TomCruise,0.6804889539372427,0.1612542956991829,0.6554711056800488,0.11244166952791168,0.13353929530745462,0.5759036473946373
tomhanks,0.24775379703608313,0.46980516287776874,0.4451690102102773,0.25512382399472944,0.45817883534382076,0.5169950000565605
usainbolt,0.2588674771924451,0.545091675845176,0.6143265049085973,0.30937699396591967,0.29961414485262033,0.4737385135160613
victoriabeckham,0.6704594556669812,0.3005987755398113,0.35690569678538264,0.2678635287321487,0.20572118596063688,0.4949147445541717
XabiAlonso,0.13314542510948357,0.34177210554947235,0.4913859279241878,0.7135671483395066,0.48679130159342443,0.20041817023186015
XaviRodriguez,0.046548796439092155,0.18102677109334667,0.7254713940249204,0.9844390048372972,0.4677642289832221,0.20051479432736433
xoellopez,1.0,0.11096101776166326,0.21583727157482158,0.3129298721556616,0.09637868231253718,0.32656917531098817
ZacEfron,0.5162950733070504,0.43453135108640495,0.4320748708611267,0.43808886588453944,0.27255887802158674,0.5353912851664574
_josecoronado_,0.1496904284476427,0.2612555712732768,0.6450588410743721,0.9630440112929631,0.35827796709021237,0.5124296293782499
